1965,9,28,Taal,Luzon-Philippines,Philippines,Stratovolcano
1965,10,24,Kick-'em-Jenny,W Indies,Netherlands,Submarine volcano
1966,1,13,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,Stratovolcano
1966,4,26,Kelut,Java,Indonesia,Stratovolcano
1966,8,12,Awu,Sangihe Is-Indonesia,Indonesia,Stratovolcano
1966,8,14,"Lengai, Ol Doinyo",Africa-E,Tanzania,Stratovolcano
1967,7,8,"Lengai, Ol Doinyo",Africa-E,Tanzania,Stratovolcano
1967,8,31,Semeru,Java,Indonesia,Stratovolcano
1967,12,4,Deception Island,Antarctica,Antarctica,Caldera
1968,4,21,Mayon,Luzon-Philippines,Philippines,Stratovolcano
1968,7,29,Arenal,Costa Rica,Costa Rica,Stratovolcano
1969,1,7,Merapi,Java,Indonesia,Stratovolcano
1969,1,28,Iya,Lesser Sunda Is,Indonesia,Stratovolcano
1969,3,21,Didicas,Luzon-N of,Philippines,Compound volcano
1969,8,26,Narugo,Honshu-Japan,Japan,Caldera
1970,3,2,Campi Flegrei,Italy,Italy,Caldera
1970,5,5,Hekla,Iceland-S,Iceland,Stratovolcano
1971,8,12,"Hudson, Cerro",Chile-S,Chile,Stratovolcano
1971,9,6,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,Stratovolcano
1971,9,14,Fuego,Guatemala,Guatemala,Stratovolcano
1971,10,26,La Palma,Canary Is,Spain,Stratovolcano
1971,10,29,Villarrica,Chile-C,Chile,Stratovolcano
1971,12,27,Kusatsu-Shirane,Honshu-Japan,Japan,Stratovolcano
1972,6,9,"Fournaise, Piton de la",Indian O-W,Reunion,Shield volcano
1972,10,2,Hakone,Honshu-Japan,Japan,Complex volcano
1972,10,9,Ritter Island,New Guinea-NE of,Papua New Guinea,Stratovolcano
1973,1,27,Vestmannaeyjar,Iceland-S,Iceland,Submarine volcano
1973,1,nan,Paluweh,Lesser Sunda Is,Indonesia,Stratovolcano
1973,4,5,"Hudson, Cerro",Chile-S,Chile,Stratovolcano
1973,12,5,Iliwerung,Lesser Sunda Is,Indonesia,Complex volcano
1974,2,11,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,Stratovolcano
1974,6,17,Sakura-jima,Kyushu-Japan,Japan,Stratovolcano
1974,7,28,Niigata-Yake-yama,Honshu-Japan,Japan,Lava dome
1974,8,9,Sakura-jima,Kyushu-Japan,Japan,Stratovolcano
1974,10,10,Fuego,Guatemala,Guatemala,Stratovolcano
1974,10,17,Ritter Island,New Guinea-NE of,Papua New Guinea,Stratovolcano
1974,10,22,Merapi,Java,Indonesia,Stratovolcano
