1913,7,28,6,40,nan,PERU: AREQUIPA,PERU
1913,8,1,17,10,nan,RUSSIA: KURIL ISLANDS,RUSSIA
1913,8,6,22,14,24.0,"PERU: CARAVELI, CHUQUIBAMBA, OCONA, ATICO",PERU
1913,8,nan,nan,nan,nan,CHINA: SICHUAN PROVINCE,CHINA
1913,10,2,4,23,28.0,PANAMA: AZUERO PENINSULA,PANAMA
1913,10,11,4,6,3.0,PAPUA NEW GUINEA,PAPUA NEW GUINEA
1913,10,14,8,8,48.0,VANUATU ISLANDS,VANUATU ISLANDS
1913,11,4,21,33,nan,"PERU: AMYARAES, ABANCAY, CASAYA, SORAYA",PERU
1913,11,10,21,12,nan,VANUATU ISLANDS,VANUATU ISLANDS
1913,12,21,15,37,38.0,CHINA: YUNNAN PROVINCE,CHINA
1914,1,12,nan,nan,nan,JAPAN: SAKURIJIMA,JAPAN
1914,1,12,nan,nan,nan,PERU: CALLAO,PERU
1914,1,15,4,28,nan,ITALY: LIGURIAN COAST,ITALY
1914,1,30,3,35,50.0,CHILE: OFF CENTRAL COAST,CHILE
1914,2,26,4,58,12.0,PERU: AREQUIPA,PERU
1914,3,15,20,0,6.0,JAPAN: SENHOKU,JAPAN
1914,3,30,0,41,nan,MEXICO: CHIAPAS,MEXICO
1914,5,8,18,1,nan,"ITALY: CATANIA, ETNA",ITALY
1914,5,26,14,22,47.7,INDONESIA: NEW GUINEA: IRIAN JAYA: JAPEN,INDONESIA
1914,5,28,11,27,nan,TURKEY: GEMEREK,TURKEY
1914,5,31,nan,nan,nan,ECUADOR: MONTE PULLERINA,ECUADOR
1914,6,25,19,7,25.9,INDONESIA: SUMATERA,INDONESIA
1914,8,4,22,41,6.0,CHINA: XINJIANG WEIWUER ZIZHIQU PROVINCE(SINKIANG),CHINA
1914,9,11,11,48,nan,"PERU: CARAVELI,NAZCA,ICA,ATICO",PERU
1914,10,3,22,6,34.0,"TURKEY: BURDUR, KILINC, KECIBORLU, ISPARTA",TURKEY
1914,10,6,19,15,nan,NEW ZEALAND: NORTH ISLAND,NEW ZEALAND
1914,10,17,6,22,30.0,GREECE: THEBES,GREECE
1914,10,23,6,18,34.0,"MICRONESIA, FED. STATES OF: CAROLINE ISLANDS","MICRONESIA, FED. STATES OF"
1914,11,24,11,53,30.0,JAPAN: VOLCANO ISLANDS,JAPAN
1914,11,27,14,39,46.0,GREECE: LEUKAS ISLAND,GREECE
1914,12,2,23,55,nan,"PERU: PARARCA,PAYSA,COLTA,OYALA",PERU
1915,1,13,6,52,38.0,"ITALY: MARSICA, AVEZZANO, ABRUZZI",ITALY
1915,2,28,18,59,nan,JAPAN: SW RYUKYU ISLANDS,JAPAN
1915,5,1,5,0,nan,RUSSIA: KURIL ISLANDS,RUSSIA
1915,5,16,13,55,nan,"PHILIPPINES: SABTAN,BATAN",PHILIPPINES
1915,5,23,nan,nan,nan,INDONESIA: KAIMANA,INDONESIA
1915,6,6,21,29,nan,PERU: S,PERU
